Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
13.20999,0.1609793,-0.1274315,1.706736,0.06259976,0.9894783,0.1158951
13.22451,0.1611108,-0.1275031,1.706699,0.06266128,0.9894775,0.1157879
13.2393,0.1613434,-0.1276282,1.706621,0.06273533,0.989472,0.1156591
13.25188,0.1615493,-0.1277534,1.706539,0.06283457,0.9894729,0.1154819
13.26618,0.1617915,-0.1279027,1.706443,0.063109,0.9894674,0.1152313
13.27993,0.1620036,-0.1280398,1.706358,0.06343774,0.9894496,0.1150383
13.29353,0.1621895,-0.1281801,1.706276,0.0637098,0.9894226,0.1149704
13.30896,0.16236,-0.1283251,1.70621,0.06391564,0.9894166,0.1147772
13.32218,0.1624938,-0.1284525,1.706155,0.06399693,0.9894147,0.1146368
13.33586,0.1626344,-0.1285756,1.706087,0.06390692,0.989425,0.1145091
13.34933,0.1627667,-0.1287118,1.706005,0.06393831,0.9894254,0.1143823
13.3639,0.1629204,-0.1288751,1.705899,0.06404733,0.9894326,0.1141766
13.37868,0.1630885,-0.1290756,1.705756,0.06434187,0.9894551,0.1137343
13.39132,0.1632252,-0.1292415,1.705647,0.0646366,0.9894624,0.1133593
13.40566,0.1632946,-0.129365,1.705585,0.06470004,0.9894626,0.1132133
13.41957,0.1633475,-0.1294599,1.705528,0.06464329,0.9894707,0.1131206
13.43309,0.1633889,-0.1295521,1.705479,0.06458904,0.9894715,0.1130785
13.44804,0.1634297,-0.129644,1.705423,0.06457967,0.9894714,0.1130434
13.46137,0.1634687,-0.1297441,1.70536,0.06464679,0.9894741,0.1129455
13.4751,0.1634943,-0.1298325,1.70532,0.0647558,0.9894688,0.1128704
13.48928,0.163506,-0.1299129,1.705286,0.06490782,0.9894627,0.1128075
13.50307,0.1634921,-0.1300022,1.705247,0.06506337,0.9894638,0.1127135
13.518,0.163454,-0.1300871,1.705205,0.06520642,0.9894702,0.1126076
13.53052,0.1633848,-0.1301972,1.705149,0.06532545,0.9894876,0.1124497
13.54472,0.1633148,-0.1303023,1.705087,0.06536827,0.989507,0.1122923
13.55886,0.163231,-0.1304023,1.705027,0.06537955,0.9895236,0.1121295
13.57209,0.1631444,-0.1304946,1.704984,0.06541009,0.9895418,0.1119993
13.58747,0.1630191,-0.1306072,1.704946,0.06553141,0.9895656,0.1118244
13.60086,0.1629194,-0.1306749,1.704938,0.06561958,0.9895867,0.1116872
13.61472,0.1628159,-0.1307258,1.704954,0.06568222,0.9895965,0.111677
13.62812,0.162681,-0.1307716,1.704981,0.06578306,0.9896,0.1117813
13.64691,0.1625807,-0.1307707,1.704983,0.06582968,0.989612,0.1117855
13.65796,0.1624959,-0.1307608,1.704977,0.06580064,0.9896294,0.1117359
13.6686,0.1624212,-0.1307534,1.70497,0.06582269,0.9896368,0.1117303
13.68305,0.1623563,-0.130764,1.704977,0.06583543,0.9896442,0.1117063
13.69713,0.1623151,-0.1307667,1.704996,0.06588868,0.9896441,0.1117206
13.71059,0.1622835,-0.1307459,1.705036,0.06602896,0.9896389,0.1117729
13.72604,0.1622782,-0.1307296,1.705082,0.06619327,0.989629,0.1118504
13.73961,0.1622974,-0.1307212,1.705117,0.06628444,0.9896191,0.1119287
13.75284,0.1623439,-0.1307268,1.705139,0.06630545,0.9896071,0.1120149
13.76736,0.1624437,-0.1307621,1.705135,0.06628959,0.9895929,0.112065
13.78144,0.162579,-0.1308247,1.705094,0.06630507,0.9895844,0.1120017
13.79629,0.1627522,-0.1309069,1.705032,0.0664868,0.989572,0.111875
13.80919,0.1629503,-0.1310005,1.704979,0.06676185,0.9895515,0.1117403
